,000300.SH,000905.SH,399006.SZ,000906.SH,000852.SH,881001.WI
2017/1/3,0.009711666,0.009122033,0.000609717,0.009534956,0.008747664,0.009619453
2017/1/4,0.007804526,0.011692703,0.014420032,0.008969434,0.012237155,0.009808082
2017/1/5,-0.000155122,0.000721648,-0.003813031,0.000108323,9.37E-05,0.000103473
2017/1/6,-0.005975047,-0.004323499,-0.009547164,-0.005478443,-0.007019303,-0.006501695
2017/1/9,0.004849617,0.006874362,-0.0017358,0.005458992,0.005104392,0.004790176
2017/1/10,-0.001673592,-0.003349634,-0.00506816,-0.002178725,-0.00511836,-0.002563683
2017/1/11,-0.007079892,-0.009691147,-0.007240285,-0.007865759,-0.010419623,-0.009017013
2017/1/12,-0.005059626,-0.009335619,-0.003820244,-0.006343874,-0.008988908,-0.007228386
2017/1/13,0.00068968,-0.012465385,-0.01564748,-0.003249435,-0.018597056,-0.008699538
2017/1/16,-0.000140576,-0.026380167,-0.036366937,-0.00792502,-0.042755901,-0.019991325
2017/1/17,0.002081914,0.008426839,0.020220469,0.003929269,0.012190689,0.006669966
2017/1/18,0.003910886,-0.002215152,-0.01182139,0.00211724,-0.004921225,-0.00029965
2017/1/19,-0.0030174,-0.004106059,-0.000892573,-0.003334717,-0.004224347,-0.003610852
2017/1/20,0.007689329,0.012959549,0.01985115,0.009223711,0.016640362,0.011836788
2017/1/23,0.002739793,0.008194841,0.003496587,0.00433382,0.010056737,0.006429268
2017/1/24,0.000110015,-0.001118392,-0.01383371,-0.000250165,-0.005572529,-0.001690634
2017/1/25,0.003404211,0.002320079,0.005097206,0.003086578,0.003324812,0.003134643
2017/1/26,0.00357131,0.00714257,0.008301265,0.004616914,0.006781701,0.005253097
2017/2/3,-0.00692697,-0.002669471,-0.005021281,-0.005677268,-0.002875027,-0.004746151
2017/2/6,0.002589633,0.008402485,0.012620948,0.004301018,0.011944069,0.007180146
2017/2/7,-0.002229393,-0.000530431,-0.005953073,-0.001727154,0.000285833,-0.000546033
2017/2/8,0.005230109,0.005701905,0.007672406,0.005369752,0.007251423,0.006299451
2017/2/9,0.003843776,0.006290835,0.00549183,0.004568262,0.008130385,0.005926961
2017/2/10,0.005062697,0.000936793,-0.004909611,0.003839058,-0.003504624,0.001301299
2017/2/13,0.00667593,0.005135544,0.004722881,0.006220386,0.006225048,0.006653454
2017/2/14,-0.000137009,0.000821489,-0.002239193,0.000146047,-0.001081661,-0.000178801
2017/2/15,-0.004101252,-0.009912226,-0.008923453,-0.005818549,-0.009468502,-0.006223158
2017/2/16,0.005617069,0.007547924,0.002786314,0.006185337,0.006410262,0.006314914
2017/2/17,-0.00566451,-0.008204221,-0.007778757,-0.006412964,-0.008710266,-0.007325017
2017/2/20,0.014599313,0.012351005,0.0064227,0.01393791,0.008748528,0.011190804
2017/2/21,0.003292742,0.007733017,0.013781651,0.004596907,0.009808469,0.006364148
2017/2/22,0.001990828,0.006183399,-0.00057473,0.003226712,0.003620168,0.003196283
2017/2/23,-0.004708953,-3.58E-05,0.003113585,-0.003327342,0.000281952,-0.001930473
2017/2/24,0.000152045,0.000335573,0.006486821,0.000206497,0.003611531,0.001801506
2017/2/27,-0.007953391,-0.008015638,-0.006021839,-0.007971827,-0.007788681,-0.007384033
2017/2/28,0.001911513,0.00415849,0.000201477,0.002576783,0.00367817,0.003483548
2017/3/1,0.001629774,0.002583859,0.002495123,0.001912694,0.002160956,0.002336911
2017/3/2,-0.006749088,-0.005104228,-0.005985243,-0.006260998,-0.006454194,-0.005841614
2017/3/3,-0.002105763,0.002830436,0.004105436,-0.000639203,0.004014855,0.000514201
2017/3/6,0.005432306,0.009993198,0.0178815,0.006792058,0.012074867,0.008725973
2017/3/7,0.002168152,0.000899648,0.007684753,0.001788804,0.001894901,0.002525639
2017/3/8,-0.001512816,-0.004000959,-0.006686391,-0.002256208,-0.004011344,-0.00255991
2017/3/9,-0.006317541,-0.008881764,-0.005439146,-0.007082337,-0.00632296,-0.006823932
2017/3/10,0.000276573,0.001325329,-0.002013775,0.000588806,0.000260557,0.00049511
2017/3/13,0.008811947,0.009302214,0.010703086,0.008957995,0.007114004,0.008153432
2017/3/14,-0.000406177,-0.00221451,-0.006522877,-0.000945147,-0.001954395,-0.000851199
2017/3/15,0.00201065,-0.001143146,-0.000103727,0.001071492,-0.000895334,0.000429793
2017/3/16,0.005157286,0.008831106,0.004549295,0.006248876,0.010607731,0.008392392
2017/3/17,-0.010254612,-0.009184055,-0.008677159,-0.009935763,-0.007053161,-0.008681433
